apt_id,amenity_name,amenity_description
8507ch0,Unique Features,"['24/7 Package Access System', 'Bike Racks', 'Built-in USB Ports', 'Ceiling Fan in Master Bedroom*', 'Central Heat', 'Courtyard', 'Custom Pendant Lighting', 'Downtown Lookout Clubroom and Terrace', 'Entertaining Parlor', 'Front loading Washers and Dryers*', 'Green Building', 'One and Two Bedroom Apartment Homes', 'On-Site Art Gallery', 'On-Site History Museum', 'Outdoor Fountain', 'Outdoor Terrace', 'Pet Playground', 'Push Button Disposals and Oversized Sinks', 'Sun Porch']"
8507ch0,Pet Policy,"['Dogs and Cats Allowed', '$20 Monthly Pet Rent', '$300 Fee', '2 Pet Limit']"
8507ch0,Parking,['Other']
8507ch0,Property Information,"['Built in 2020', '316 Units/5 Stories']"
8507ch0,Lease Length,"['13, 14']"
8507ch0,Services,"['Package Service', 'Maintenance on site', 'On-Site Retail', 'Pet Play Area']"
8507ch0,Interior,['Elevator']
8507ch0,Outdoor Space,"['Gated', 'Courtyard', 'Balcony', 'Deck']"
8507ch0,Fitness & Recreation,"['Fitness Center', 'Pool', 'Bike Storage']"
8507ch0,Features,"['Washer/Dryer - In Unit', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Double Vanities', 'Tub/Shower', 'Fireplace', 'Sprinkler System']"
8507ch0,Kitchen,"['Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Warming Drawer']"
8507ch0,Living Space,"['Carpet', 'Vinyl Flooring', 'Views', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings']"
8507ch0,Security,['Property Manager on Site']
