apt_id,apt_name,apt_street,apt_city,apt_state,apt_zip,apt_phone,apt_num_rentals,apt_num_reviews,apt_avg_review,apt_latitude,apt_longtitude,apt_description
8507ch0,Broadstone Sugar Hill,5010 W Broad St,Sugar Hill,GA,30518,770-799-8620,78,1,5.0,34.1065,-84.0355,"'The heart of Sugar Hill revolves around local pride. Flourish in a classic southern community without giving up the spoils of urban living. Stroll down Broad Street and enjoy mom-and-pop boutiques, unique shopping, and fresh farm-to-table dining. Simply cross the street for an outdoor concert at The Bowl or a show at the E-Center. Sugar Hill allows you the opportunity to enjoy a relaxed pace of life without sacrificing modern, urban living. And at its center, you will find Broadstone Sugar Hill- where main street meets modern'"
7x1j2ly,Adley City Springs,6075 Roswell Rd,Sandy Springs,GA,30328,678-331-5893,78,1,5.0,33.92072,-84.37844,"'Adley City Springs Apartments offers many amenities to make sure you enjoy your time here with us! Enjoy luxury living by lounging around our rooftop salt-water pool with a poolside aqua lounge, or by getting social at our cozy outdoor kitchen with a lounge area or at our golf simulator lounge. Residents can get energized in our two-story fitness center, which offers high-endurance equipment and free weights. Our upscale clubhouse also features a kitchen with lounging areas, gourmet coffee and hot tea bar, social lounge with gaming and TVs, cyber lounge, conference room, and movie theater. For your convenience, take advantage of our on-site paw spa, online rent payment and maintenance request services, and elevator access. Contact our friendly leasing staff to set up an appointment for a personal tour of your new home. We look forward to seeing you at Adley City Springs Apartments!'"
3zjvf3d,Broadstone Junction,500 Thrasher St NW,Norcross,GA,30071,844-395-8465,33,nan,nan,33.93623,-84.22015,"'Unlike other apartment communities, Broadstone Junction celebrates its rich history by protecting its heritage. Nestled at Broadstone Junction are two crown-jewel, adaptive-reuse buildings that will be home to 90 unique apartment homes. These loft style gems celebrate the architecturally rich history of Broadstone Junction. Comingled with The Lofts are two brand new apartment buildings, The Flats, with traditional aesthetics that blend Broadstone Junction into the fabric of the neighborhood.'"
vfz0lqd,Inkwell Decatur,2588 Decatur Village Way,Decatur,GA,30033,678-331-5967,40,nan,nan,33.79643,-84.28418,"'NOW OPEN! Brand New! Welcome to Inkwell Decatur Apartments! Enjoy the upscale and inviting atmosphere of our brand new community, located in Decatur, Georgia. We offer beautiful one and two bedroom apartments infused with style and modern convenience. Featuring luxury vinyl hardwood plank throughout!'"
fffnhjs,The Irby,65 Irby Ave,Atlanta,GA,30305,844-335-5284,62,1,4.9,33.8414,-84.38103,"'Welcome to refined living. The Irby is crafted to surround you in extravagance while keeping you connected to the charm of Buckhead. The Irby seamlessly combines posh city living and upscale design. From the elegant entry to the exclusive Skylounge, The Irby celebrates living modern while staying classic.'"
9teved6,The Alastair at Aria Village,6500 Aria Blvd,Sandy Springs,GA,30328,844-239-0147,68,2,4.6,33.93353,-84.36504,"'Welcome home to The Alastair at Aria Village Apartments! Our apartments in Sandy Springs, GA are ready to elevate your lifestyle. Blending luxury, comfort, and an excellent location with outstanding services and impeccable amenities, we are here to make sure you live the life you desire.A saltwater pool with fire pits and lounge spaces, on-site concierge, two-story fitness center, resident event center, co-working spaces, private game room, full catering kitchen with private dining, and electric car charging stations are all part of The Alastair at Aria Village experience. Inside your new home, you’ll find even more comfort and convenience, including smart thermostats, built-in bookshelves, linen cabinets, wine racks, quartz or granite countertops, Sonos wireless speakers, digital thermostats, and many more. Private balconies or patios, and large kitchen islands with seating are also available in most of our one, two, and three-bedroom layouts.Located within walking distance from the Mercedes-Benz US Headquarters and with easy access to GA-400 and I-285, along Abernathy road, our location puts everything you need within reach. From the plethora of retail shops at Perimeter Mall to the convenience of having Costco nearby and the beautiful Chattahoochee River Recreation Area, there’s always something to do or explore when you live at The Alastair at Aria Village Apartments.Come learn more about how you can make your dream home in Sandy Springs come true and call us to schedule a tour!'"
cd80n3f,MAA Centennial Park,305 Centennial Olympic Park Dr NW,Atlanta,GA,30313,470-427-2443,65,15,4.4,33.76307,-84.39116,"""TOUR YOUR WAY! We have a tour to fit your needs- virtual, self-guided, or with a leasing agent. Welcome to MAA Centennial Park, a new luxury apartment complex in Downtown Atlanta in the Centennial Park area. MAA Centennial Park is also located near the Georgia Aquarium, World of Coca-Cola, CNN and Philips Arena. And you're only minutes away from two MARTA stations, where you'll be able to visit all of Atlanta's other fun neighborhoods. When you come home to your new pet-friendly apartment, you'll love the luxury finishes found in many different floorplans, as well as energy saving features like NEST thermostats, LED lighting and energy efficient ceiling fans. You'll love the amenities our community offers, such as our electric car charging stations located in our controlled access parking area, rooftop sky deck and Aqua lounge with a resort style pool and private cabanas and bike storage with Dero Fixit stands."""
sr9hlv4,Whisperwood Apartments,6029 Flat Rock Rd,Columbus,GA,31907,877-351-3859,17,13,3.7,32.53157,-84.87028,"'Welcome to Whisperwood, the home of your next adventure! You’ll find a fantastic home, in a premier location packaged with unbeatable amenities. Close to Columbus State University and only minutes from Fort Benning, we’re near everything you need, when you need it.  With six pools, hot tubs, tennis courts, a group fitness studio, an indoor racquetball court, and movie theater, there’s always something to do that’s already part of your apartment experience. We offer military discounts and preferred employers specials. Check out what we have available online, then call to schedule a tour and let us show you around!'"
0g6gh01,1824 Defoor,1824 Defoor Ave NW,Atlanta,GA,30318,844-641-2982,35,33,4.7,33.80493,-84.42552,"""The scene is Atlanta’s thriving Westside, the vanguard of shopping and dining, inspired energy and industrial rebirth. The look is classic cottage and private retreat, as tasteful and welcoming as you could ask for. The feel is brilliantly modern, with wide-open interiors that let you craft your surroundings to whatever best expresses your heart and mind. With an awesome array of studio, one, two and three bedroom apartments, you're sure to find whatever best suits your lifestyle. Choose from our 13 different layouts ranging from 716 to 1881 square feet.With a location just off Howell Mill Road, an apartment at 1824 Defoor puts you in immediate proximity to Westside Provisions District – and everything this amazing area has to offer."""
t1qzpt8,The Point At Westside,370 Northside Dr,Atlanta,GA,30318,877-335-1804,15,20,4.1,33.76535,-84.40475,"'Discover home at The Point at Westside Atlanta apartments. Our community offers residents the unique combination of comfort, convenience, and luxury in the heart of the city. Each of our homes are airy and inviting, not to mention fully equipped with the finest amenities. Gourmet kitchens include energy-efficient stainless-steel appliances, breakfast bars, and elegant, custom-crafted cabinetry for a sophisticated but cozy feel. Expansive living rooms come cable-ready for movie nights or kicking on your favorite playlist for a gathering of friends. Enjoy morning coffee or an evening drink on your very own private patio or balcony, and take in the sights and sounds of your oasis in the heart of the city.Inside our remote-access community, residents are free to enjoy all of our exciting amenities. Spend an afternoon in our courtyard taking a dip in the pool or soaking up some rays in our lounge area. Our state-of-the-art fitness center is always here for you to get your sweat on, and our cyber cafe is the ideal spot to work from home. Package retrieval services, night patrol, and on-site management is available to help you take care of all the details.Located in the heart of Atlanta, our residents have quick access to I-75, I-85, and I-20 as well as the Hartsfield-Jackson International Airport, and Atlantic Station. For fun in the area, look no further than the Georgia Aquarium, World of Coke, and the Atlanta Zoo. There’s something for everyone here at The Point at Westside.'"
