apt_id,expense_type,expense_name,expense_amount
8507ch0,Recurring,Cat Rent,$20
8507ch0,Recurring,Dog Rent,$20
8507ch0,One-Time,Cat Fee,$300
8507ch0,One-Time,Dog Fee,$300
7x1j2ly,One-Time,Admin Fee,$150
7x1j2ly,One-Time,Application Fee,$50
3zjvf3d,One-Time,Application Fee,$99
vfz0lqd,Recurring,Cat Rent,$20
vfz0lqd,Recurring,Dog Rent,$20
vfz0lqd,One-Time,Admin Fee,$150
vfz0lqd,One-Time,Application Fee,$50
vfz0lqd,One-Time,Cat Fee,$400
vfz0lqd,One-Time,Dog Fee,$400
fffnhjs,Recurring,Cat Rent,$20
fffnhjs,Recurring,Dog Rent,$20
fffnhjs,One-Time,Admin Fee,$250
fffnhjs,One-Time,Application Fee,$75
fffnhjs,One-Time,Cat Fee,$350
fffnhjs,One-Time,Dog Fee,$350
9teved6,Recurring,Assigned Garage Parking,$50
9teved6,Recurring,Cat Rent,$25
9teved6,Recurring,Dog Rent,$25
9teved6,One-Time,Admin Fee,$200
9teved6,One-Time,Application Fee,$90
9teved6,One-Time,Cat Fee,$400
9teved6,One-Time,Dog Fee,$400
cd80n3f,One-Time,Admin Fee,$250
cd80n3f,One-Time,Application Fee,$85
sr9hlv4,One-Time,Admin Fee,$100
sr9hlv4,One-Time,Application Fee,$35
sr9hlv4,Utilities Included,Trash Removal,Included
0g6gh01,Recurring,Storage Fee,$45
0g6gh01,Recurring,Cat Rent,$20
0g6gh01,Recurring,Dog Rent,$20
0g6gh01,One-Time,Admin Fee,$200
0g6gh01,One-Time,Application Fee,$95
t1qzpt8,One-Time,Admin Fee,$200
t1qzpt8,One-Time,Application Fee,$65
t1qzpt8,One-Time,Cat Fee,$400
t1qzpt8,One-Time,Dog Fee,$400
g41tntx,Recurring,Cat Rent,$25
g41tntx,Recurring,Dog Rent,$25
g41tntx,One-Time,Admin Fee,$150
g41tntx,One-Time,Application Fee,$75
g41tntx,One-Time,Cat Fee,$250
g41tntx,One-Time,Dog Fee,$250
pf4mgzt,Recurring,Cat Rent,$20
pf4mgzt,Recurring,Dog Rent,$20
pf4mgzt,One-Time,Admin Fee,$150
pf4mgzt,One-Time,Application Fee,$50
pf4mgzt,One-Time,Cat Fee,$400
pf4mgzt,One-Time,Dog Fee,$400
dc3kbnh,Recurring,Cat Rent,$25
dc3kbnh,Recurring,Dog Rent,$25
dc3kbnh,One-Time,Admin Fee,$300
dc3kbnh,One-Time,Application Fee,$100
dc3kbnh,One-Time,Cat Fee,$500
dc3kbnh,One-Time,Dog Fee,$500
347xfmf,One-Time,Admin Fee,$150
347xfmf,One-Time,Application Fee,$75
ctx07ze,One-Time,Admin Fee,$150
ctx07ze,One-Time,Application Fee,$85
ypq4vxs,One-Time,Admin Fee,$150
ypq4vxs,One-Time,Application Fee,$50
ymf5lbr,One-Time,Admin Fee,$150
ymf5lbr,One-Time,Application Fee,$50
