apt_id,place_type,place_name,place_distance
8507ch0,Colleges,Georgia Gwinnett College,12.5
8507ch0,Colleges,Gwinnett Technical College,13.8
8507ch0,Colleges,Georgia Perimeter College,16.0
8507ch0,Shopping Centers,Sugar Hill Square,0.2
8507ch0,Shopping Centers,Strip Center at 4981 Nelson Brogdon Blvd,0.5
8507ch0,Shopping Centers,Premier Pointe,0.5
8507ch0,Parks and Recreation,Mill Creek Nature Center,2.6
8507ch0,Parks and Recreation,Lake Lanier,4.3
8507ch0,Parks and Recreation,Settles Bridge Park,4.4
8507ch0,Parks and Recreation,Gwinnett Environmental & Heritage Center,4.9
8507ch0,Parks and Recreation,George Pierce Park,5.2
8507ch0,Military Bases,Georgia National Guard,39.2
8507ch0,Military Bases,Fort McPherson,42.5
8507ch0,Military Bases,Dobbins Air Force Base,43.0
7x1j2ly,Colleges,"Argosy University, Atlanta",1.7
7x1j2ly,Colleges,The Art Institute of Atlanta,2.3
7x1j2ly,Colleges,Oglethorpe University,6.3
7x1j2ly,Transit / Subway,Sandy Springs Station,2.0
7x1j2ly,Transit / Subway,Dunwoody,2.3
7x1j2ly,Transit / Subway,Medical Center,2.4
7x1j2ly,Shopping Centers,Hammond Drive Shopping Center,0.3
7x1j2ly,Shopping Centers,Strip Center at 203-225 Hilderbrand Dr NE,0.3
7x1j2ly,Shopping Centers,The Balconies,0.3
7x1j2ly,Parks and Recreation,Sandy Springs Historic Site,0.4
7x1j2ly,Parks and Recreation,Big Trees Forest Preserve,3.7
7x1j2ly,Parks and Recreation,Blue Heron Nature Preserve,4.0
7x1j2ly,Parks and Recreation,Chastain Park,4.1
7x1j2ly,Parks and Recreation,Dunwoody Nature Center,4.3
7x1j2ly,Military Bases,Dobbins Air Force Base,11.9
7x1j2ly,Military Bases,Georgia National Guard,17.0
7x1j2ly,Military Bases,Fort McPherson,18.4
7x1j2ly,Airports,Hartsfield-Jackson Atlanta International,28.4
3zjvf3d,Colleges,Georgia Perimeter College,6.7
3zjvf3d,Colleges,Oglethorpe University,9.4
3zjvf3d,Colleges,The Art Institute of Atlanta,10.4
3zjvf3d,Shopping Centers,Norcross Point Plaza,0.3
3zjvf3d,Shopping Centers,Buford Crossing,0.5
3zjvf3d,Shopping Centers,Carter Crossing Shopping Center,0.5
3zjvf3d,Parks and Recreation,Best Friend Park,1.2
3zjvf3d,Parks and Recreation,Graves Park,4.1
3zjvf3d,Parks and Recreation,Pinckneyville Park,4.1
3zjvf3d,Parks and Recreation,West Gwinnett Park & Aquatic Center,4.1
3zjvf3d,Parks and Recreation,Holcomb Bridge Park,4.2
3zjvf3d,Military Bases,Dobbins Air Force Base,22.1
3zjvf3d,Military Bases,Georgia National Guard,22.1
3zjvf3d,Military Bases,Fort McPherson,23.6
3zjvf3d,Airports,Hartsfield-Jackson Atlanta International,29.9
vfz0lqd,Colleges,Emory University,2.2
vfz0lqd,Colleges,Agnes Scott College,2.9
vfz0lqd,Transit / Subway,Decatur,2.1
vfz0lqd,Transit / Subway,Avondale,2.3
vfz0lqd,Shopping Centers,Strip Center at 1652-1656 Church St,0.2
vfz0lqd,Shopping Centers,Patel Plaza,0.3
vfz0lqd,Shopping Centers,Decatur Square,0.3
vfz0lqd,Parks and Recreation,Glenn Creek Nature Preserve,1.5
vfz0lqd,Parks and Recreation,Clyde Shepherd Nature Preserve,1.6
vfz0lqd,Parks and Recreation,South River Watershed Alliance,2.4
vfz0lqd,Parks and Recreation,Fernbank Forest & Science Center,2.5
vfz0lqd,Parks and Recreation,Bradley Observatory,2.5
vfz0lqd,Military Bases,Georgia National Guard,8.9
vfz0lqd,Military Bases,Fort McPherson,13.6
vfz0lqd,Military Bases,Fort Gillem,20.7
vfz0lqd,Airports,Hartsfield-Jackson Atlanta International,18.3
fffnhjs,Colleges,Oglethorpe University,4.5
fffnhjs,Colleges,Emory University,6.1
fffnhjs,Transit / Subway,Lenox,2.0
fffnhjs,Transit / Subway,Lindbergh Center,2.4
fffnhjs,Transit / Subway,Buckhead,4.3
fffnhjs,Shopping Centers,Strip Center at 3219-3233 Cains Hill Pl NW,0.2
fffnhjs,Shopping Centers,Paces Ferry Place,0.2
fffnhjs,Shopping Centers,Strip Center at 3210 Roswell Rd NW,0.3
fffnhjs,Parks and Recreation,Atlanta History Center,0.5
fffnhjs,Parks and Recreation,Atlanta Audubon Society,1.9
fffnhjs,Parks and Recreation,Blue Heron Nature Preserve,1.9
fffnhjs,Parks and Recreation,Chastain Park,3.6
fffnhjs,Parks and Recreation,Atlanta Botanical Garden,5.2
fffnhjs,Military Bases,Georgia National Guard,9.9
fffnhjs,Military Bases,Fort McPherson,11.0
fffnhjs,Military Bases,Dobbins Air Force Base,12.7
fffnhjs,Airports,Hartsfield-Jackson Atlanta International,17.7
9teved6,Colleges,The Art Institute of Atlanta,1.2
9teved6,Colleges,"Argosy University, Atlanta",1.9
9teved6,Colleges,Georgia Perimeter College,4.5
9teved6,Transit / Subway,Sandy Springs Station,1.0
9teved6,Transit / Subway,North Springs,2.0
9teved6,Transit / Subway,Dunwoody,2.1
9teved6,Transit / Subway,Medical Center,2.6
9teved6,Shopping Centers,Costco Center,1.0
9teved6,Shopping Centers,The Courtyard,1.2
9teved6,Shopping Centers,SANDY SPRINGS CROSSING,1.2
9teved6,Parks and Recreation,Sandy Springs Historic Site,1.6
9teved6,Parks and Recreation,Dunwoody Nature Center,3.3
9teved6,Parks and Recreation,Big Trees Forest Preserve,3.5
9teved6,Parks and Recreation,Chastain Park,5.6
9teved6,Parks and Recreation,Chattahoochee River NRA - Cochran Shoals / Sope Creek,5.6
9teved6,Military Bases,Dobbins Air Force Base,14.6
9teved6,Military Bases,Georgia National Guard,17.5
9teved6,Military Bases,Fort McPherson,18.9
9teved6,Airports,Hartsfield-Jackson Atlanta International,25.3
cd80n3f,Colleges,Georgia State University,0.9
cd80n3f,Colleges,Georgia Institute of Technology,1.8
cd80n3f,Colleges,Clark Atlanta University,2.0
cd80n3f,Transit / Subway,Civic Center,0.4
cd80n3f,Transit / Subway,Peachtree Center,0.5
cd80n3f,Transit / Subway,Dome/GWCC/Phillips Arena/CNN Center,0.8
cd80n3f,Transit / Subway,Five Points,0.8
cd80n3f,Transit / Subway,North Avenue,0.8
cd80n3f,Shopping Centers,CNN Center,0.5
cd80n3f,Shopping Centers,Strip Center at 509-511 Peachtree St NE,0.6
cd80n3f,Shopping Centers,Five Points,0.7
cd80n3f,Parks and Recreation,Imagine It! The Children's Museum of Atlanta,0.2
cd80n3f,Parks and Recreation,Georgia Aquarium,0.2
cd80n3f,Parks and Recreation,Georgia Conservancy,1.1
cd80n3f,Parks and Recreation,Park Pride,1.3
cd80n3f,Parks and Recreation,The Georgia Capitol Museum,1.5
cd80n3f,Military Bases,Georgia National Guard,4.4
cd80n3f,Military Bases,Fort McPherson,5.1
cd80n3f,Military Bases,Fort Gillem,13.6
cd80n3f,Airports,Hartsfield-Jackson Atlanta International,12.2
sr9hlv4,Colleges,Columbus State University,6.1
sr9hlv4,Colleges,Chattahoochee Valley Community College,14.4
sr9hlv4,Shopping Centers,Flat Rock Plaza,0.6
sr9hlv4,Shopping Centers,Lakeside Village at Beaver Run,0.8
sr9hlv4,Shopping Centers,Strip Center at 5762 Milgen Rd,0.9
sr9hlv4,Parks and Recreation,Oxbow Meadows Environmental Learning Center,5.7
sr9hlv4,Parks and Recreation,Columbus Botanical Garden,6.4
sr9hlv4,Parks and Recreation,Coca-Cola Space Science Center,9.9
sr9hlv4,Military Bases,Fort Benning Columbus,9.8
sr9hlv4,Military Bases,Fort Benning,23.4
sr9hlv4,Military Bases,Fort Benning Military Reserve Alabama,27.6
sr9hlv4,Airports,Columbus Metropolitan,5.9
0g6gh01,Colleges,Georgia Institute of Technology,3.1
0g6gh01,Colleges,Clark Atlanta University,5.1
0g6gh01,Colleges,Morehouse College,5.3
0g6gh01,Shopping Centers,Strip Center at 1745 Defoor Pl NW,0.4
0g6gh01,Shopping Centers,Strip Center at 1708 Defoor Pl NW,0.5
0g6gh01,Shopping Centers,Strip Center at 1170 Collier Rd NW,0.7
0g6gh01,Parks and Recreation,Piedmont Park,3.8
0g6gh01,Parks and Recreation,Atlanta Botanical Garden,4.2
0g6gh01,Parks and Recreation,Georgia Conservancy,4.6
0g6gh01,Parks and Recreation,Georgia Aquarium,4.8
0g6gh01,Parks and Recreation,Atlanta History Center,5.6
0g6gh01,Military Bases,Fort McPherson,8.3
0g6gh01,Military Bases,Georgia National Guard,8.4
0g6gh01,Military Bases,Dobbins Air Force Base,11.7
0g6gh01,Airports,Hartsfield-Jackson Atlanta International,16.2
t1qzpt8,Colleges,Georgia State University,1.6
t1qzpt8,Colleges,Georgia Institute of Technology,1.7
t1qzpt8,Colleges,Clark Atlanta University,1.7
t1qzpt8,Transit / Subway,Vine City,0.7
t1qzpt8,Transit / Subway,Civic Center,1.2
t1qzpt8,Transit / Subway,Dome/GWCC/Phillips Arena/CNN Center,1.3
t1qzpt8,Transit / Subway,Ashby,1.5
t1qzpt8,Transit / Subway,Peachtree Center,1.6
t1qzpt8,Shopping Centers,Simpson Plaza,0.6
t1qzpt8,Shopping Centers,Strip Center at 710 Marietta St NW,0.9
t1qzpt8,Shopping Centers,Strip Center at 920 Simpson Rd,1.0
t1qzpt8,Parks and Recreation,Georgia Aquarium,0.8
t1qzpt8,Parks and Recreation,Imagine It! The Children's Museum of Atlanta,1.1
t1qzpt8,Parks and Recreation,Park Pride,1.7
t1qzpt8,Parks and Recreation,Georgia Conservancy,1.8
t1qzpt8,Parks and Recreation,The Georgia Capitol Museum,1.9
t1qzpt8,Military Bases,Fort McPherson,4.8
t1qzpt8,Military Bases,Georgia National Guard,4.9
t1qzpt8,Military Bases,Fort Gillem,14.3
t1qzpt8,Airports,Hartsfield-Jackson Atlanta International,11.7
g41tntx,Colleges,"Argosy University, Atlanta",0.5
g41tntx,Colleges,The Art Institute of Atlanta,1.5
g41tntx,Colleges,Georgia Perimeter College,4.7
g41tntx,Transit / Subway,Dunwoody,0.7
g41tntx,Transit / Subway,Medical Center,1.0
g41tntx,Transit / Subway,Sandy Springs Station,1.3
g41tntx,Transit / Subway,North Springs,2.3
g41tntx,Shopping Centers,Publix At Perimeter,0.3
g41tntx,Shopping Centers,Perimeter Expo,0.4
g41tntx,Shopping Centers,Perimeter Square West,0.9
g41tntx,Parks and Recreation,Sandy Springs Historic Site,2.2
g41tntx,Parks and Recreation,Dunwoody Nature Center,3.6
g41tntx,Parks and Recreation,Blue Heron Nature Preserve,5.2
g41tntx,Parks and Recreation,Chastain Park,5.4
g41tntx,Parks and Recreation,Big Trees Forest Preserve,5.5
g41tntx,Military Bases,Dobbins Air Force Base,13.7
g41tntx,Military Bases,Georgia National Guard,16.9
g41tntx,Military Bases,Fort McPherson,18.4
g41tntx,Airports,Hartsfield-Jackson Atlanta International,25.3
tehkkb9,Colleges,Gwinnett Technical College,1.3
tehkkb9,Colleges,Georgia Gwinnett College,5.2
tehkkb9,Colleges,Georgia Perimeter College,13.4
tehkkb9,Shopping Centers,Sugarloaf Crossing,0.2
tehkkb9,Shopping Centers,Strip Center at 1900 Duluth Hwy,0.2
tehkkb9,Shopping Centers,Strip Center at 1942 Atkinson Rd,0.3
tehkkb9,Parks and Recreation,McDaniel Farm Park,3.2
tehkkb9,Parks and Recreation,Sweet Water Park,3.2
tehkkb9,Parks and Recreation,Peachtree Ridge Park,4.0
tehkkb9,Parks and Recreation,Shorty Howell Park,5.4
tehkkb9,Parks and Recreation,Club Drive Park,5.5
tehkkb9,Military Bases,Georgia National Guard,29.2
tehkkb9,Military Bases,Fort McPherson,30.6
tehkkb9,Military Bases,Dobbins Air Force Base,31.4
pf4mgzt,Colleges,Savannah Technical College,2.9
pf4mgzt,Colleges,Savannah College of Art and Design,12.1
pf4mgzt,Colleges,"South University, Savannah Georgia",18.2
pf4mgzt,Shopping Centers,The Crossings at Godley Station,2.3
pf4mgzt,Shopping Centers,The Towne Center,3.0
pf4mgzt,Shopping Centers,Mill Creek Center,3.4
pf4mgzt,Parks and Recreation,Savannah National Wildlife Refuge,8.7
pf4mgzt,Parks and Recreation,Ships of the Sea Maritime Museum,11.8
pf4mgzt,Parks and Recreation,Coastal Georgia Botanical Gardens at the Historic Bamboo Farm,14.5
pf4mgzt,Military Bases,Hunter Army Airfield,19.3
pf4mgzt,Military Bases,Fort Stewart Military Reservation,32.1
pf4mgzt,Military Bases,Fort Stewart Military Reservation Hinesville,44.2
pf4mgzt,Airports,Savannah/Hilton Head International,9.7
dc3kbnh,Colleges,Oglethorpe University,2.3
dc3kbnh,Colleges,"Argosy University, Atlanta",4.7
dc3kbnh,Colleges,Georgia Perimeter College,5.1
dc3kbnh,Transit / Subway,Chamblee,0.7
dc3kbnh,Transit / Subway,Doraville,2.4
dc3kbnh,Shopping Centers,Peachtree Market Place,0.2
dc3kbnh,Shopping Centers,Chamblee Village,0.2
dc3kbnh,Shopping Centers,Strip Center at 5071 Peachtree Industrial Blvd,0.5
dc3kbnh,Parks and Recreation,Dunwoody Nature Center,6.0
dc3kbnh,Parks and Recreation,Atlanta Audubon Society,6.0
dc3kbnh,Parks and Recreation,Blue Heron Nature Preserve,6.1
dc3kbnh,Parks and Recreation,Sandy Springs Historic Site,6.2
dc3kbnh,Parks and Recreation,Chastain Park,7.4
dc3kbnh,Military Bases,Georgia National Guard,13.7
dc3kbnh,Military Bases,Dobbins Air Force Base,16.5
dc3kbnh,Military Bases,Fort McPherson,16.8
dc3kbnh,Airports,Hartsfield-Jackson Atlanta International,23.1
347xfmf,Colleges,Georgia Gwinnett College,2.9
347xfmf,Colleges,Gwinnett Technical College,5.8
347xfmf,Colleges,Georgia Perimeter College,19.3
347xfmf,Shopping Centers,Strip Center at 138 E Crogan St,0.3
347xfmf,Shopping Centers,Historic Lawrenceville Square,0.3
347xfmf,Shopping Centers,Lawrenceville Square,0.4
347xfmf,Parks and Recreation,Gwinnett Historic Courthouse,0.7
347xfmf,Parks and Recreation,Rhodes Jordan Park,1.3
347xfmf,Parks and Recreation,Alexander Park,3.5
347xfmf,Parks and Recreation,Freeman's Mill Park,5.3
347xfmf,Parks and Recreation,Rabbit Hill Park,6.6
347xfmf,Military Bases,Georgia National Guard,34.7
347xfmf,Military Bases,Fort McPherson,36.1
347xfmf,Military Bases,Fort Gillem,42.1
ctx07ze,Colleges,Kennesaw State University,6.2
ctx07ze,Colleges,Chattahoochee Technical College,7.8
ctx07ze,Shopping Centers,Woodstock Square,0.2
ctx07ze,Shopping Centers,Shoppes of Woodstock,1.1
ctx07ze,Shopping Centers,St. Thomas Square,1.2
ctx07ze,Parks and Recreation,Marietta Tree Keepers,11.3
ctx07ze,Parks and Recreation,Leone Hall Price Park,13.7
ctx07ze,Parks and Recreation,Kennesaw Mountain National Battlefield Park,13.8
ctx07ze,Military Bases,Dobbins Air Force Base,16.0
ctx07ze,Military Bases,Georgia National Guard,31.3
