apt_id,rental_id,num_beds,num_baths,surface,monthly_rent,status
8507ch0,y3yfsgt,1,1,724 Sq Ft,"$1,302 - 1,377",Available Now
8507ch0,ewwjpnq,1,1,724 Sq Ft,"$1,302",Available Now
8507ch0,kp9pxh9,1,1,724 Sq Ft,"$1,302",Available Now
8507ch0,mhsqwjj,1,1,724 Sq Ft,"$1,302",Available Now
8507ch0,qt3nj4y,1,1,724 Sq Ft,"$1,302",Available Now
8507ch0,hnjlsv0,1,1,724 Sq Ft,"$1,302",Available Now
8507ch0,7cyej3w,1,1,667 Sq Ft,"$1,323 - 1,428",Available Now
8507ch0,z07641x,1,1,667 Sq Ft,"$1,323",Available Now
8507ch0,3b2qw5g,1,1,667 Sq Ft,"$1,323",Available Now
8507ch0,zv0nmyy,1,1,667 Sq Ft,"$1,323",Available Now
8507ch0,fgtec3s,1,1,667 Sq Ft,"$1,323",Available Now
8507ch0,t7012h9,1,1,667 Sq Ft,"$1,353",Available Now
8507ch0,8y8rds1,1,1,715 Sq Ft,"$1,327 - 1,432",Available Now
8507ch0,8mpcr90,1,1,715 Sq Ft,"$1,327",Available Now
8507ch0,swq0h36,1,1,715 Sq Ft,"$1,327",Available Now
8507ch0,jtf8pn4,1,1,715 Sq Ft,"$1,327",Available Now
8507ch0,yqlfrrv,1,1,715 Sq Ft,"$1,327",Available Now
8507ch0,n54z7yp,1,1,785 Sq Ft,"$1,361 - 1,451",Available Now
8507ch0,pc9ng9t,1,1,785 Sq Ft,"$1,361",Available Now
8507ch0,hlvlk93,1,1,785 Sq Ft,"$1,421",Available Now
8507ch0,q6fnbjw,1,1,785 Sq Ft,"$1,421",Available Now
8507ch0,gn5pe9x,1,1,785 Sq Ft,"$1,421",Available Now
8507ch0,tcy5e59,1,1,785 Sq Ft,"$1,421",Available Now
8507ch0,556g7kp,1,1,732 Sq Ft,"$1,362 - 1,462",Available Now
8507ch0,twms848,1,1,732 Sq Ft,"$1,362",Available Now
8507ch0,36nz41f,1,1,732 Sq Ft,"$1,387",Available Now
8507ch0,cb42n4g,1,1,732 Sq Ft,"$1,387",Available Now
8507ch0,rdzlnc3,1,1,732 Sq Ft,"$1,462",Available Now
8507ch0,lx4sqwf,1,1,716 Sq Ft,"$1,362 - 1,467",Available Now
8507ch0,8ncnzc2,1,1,716 Sq Ft,"$1,362",Available Now
8507ch0,z45kt0y,1,1,716 Sq Ft,"$1,362",Available Now
8507ch0,d79pg1l,1,1,716 Sq Ft,"$1,392",Available Now
8507ch0,6n0lfct,1,1,716 Sq Ft,"$1,437",Available Now
8507ch0,51qh50m,1,1,716 Sq Ft,"$1,467",Available Now
8507ch0,wgfdefj,1,1,803 Sq Ft,"$1,395 - 1,500",Available Now
8507ch0,z5l61sy,1,1,803 Sq Ft,"$1,395",Available Now
8507ch0,jwpqr54,1,1,803 Sq Ft,"$1,395",Available Now
8507ch0,46z7twj,1,1,803 Sq Ft,"$1,425",Available Now
8507ch0,vqvxcbe,1,1,803 Sq Ft,"$1,425",Available Now
8507ch0,hxm08c1,1,1,803 Sq Ft,"$1,425",Available Now
8507ch0,7gfen3z,1,1,905 Sq Ft,"$1,542",Available Now
8507ch0,1xh7sj4,1,1,905 Sq Ft,"$1,542",Available Now
8507ch0,2p9kwy9,2,2,967 Sq Ft,"$1,561 - 1,686",Available Now
8507ch0,mq9rfhl,2,2,967 Sq Ft,"$1,596",Available Now
8507ch0,njj5t0n,2,2,967 Sq Ft,"$1,596",Available Now
8507ch0,t31ng69,2,2,967 Sq Ft,"$1,596",Available Now
8507ch0,yktyl0t,2,2,967 Sq Ft,"$1,596",Available Now
8507ch0,h9jnf01,2,2,967 Sq Ft,"$1,596",Available Now
8507ch0,tktbrmb,2,2,"1,080 Sq Ft","$1,698 - 1,803",Available Now
8507ch0,m5svb3j,2,2,"1,080 Sq Ft","$1,698",Available Now
8507ch0,5khqk6p,2,2,"1,080 Sq Ft","$1,698",Available Now
8507ch0,1xkdhl6,2,2,"1,080 Sq Ft","$1,698",Available Now
8507ch0,n88fzyp,2,2,"1,080 Sq Ft","$1,698",Available Now
8507ch0,g3pefzw,2,2,"1,080 Sq Ft","$1,803",Available Now
8507ch0,kkv2rkb,2,2,"1,053 Sq Ft","$1,710",Available Now
8507ch0,eejcsmm,2,2,"1,053 Sq Ft","$1,710",Available Now
8507ch0,bztp30c,2,2,"1,053 Sq Ft","$1,710",Available Now
8507ch0,3sp9lhe,2,2,"1,199 Sq Ft","$1,761",Available Now
8507ch0,1td7ys6,2,2,"1,199 Sq Ft","$1,761",Available Now
8507ch0,8smrcj3,3,2,"1,251 Sq Ft","$1,909",Available Now
8507ch0,jxkqsx4,3,2,"1,251 Sq Ft","$1,909",Available Now
8507ch0,0mtl6r1,1,1,715 Sq Ft,"$1,432",Feb 7
8507ch0,e7g754q,3,2.5,"1,456 Sq Ft","$1,947 - 2,022",Feb 12
8507ch0,5843wbq,3,2.5,"1,456 Sq Ft","$1,947",Feb 12
8507ch0,rj04nx1,3,2.5,"1,456 Sq Ft","$2,022",Feb 12
8507ch0,jqdv5e7,3,2.5,"1,478 Sq Ft","$1,966",Feb 12
8507ch0,6fzt2xv,3,2.5,"1,478 Sq Ft","$1,966",Feb 12
8507ch0,2yzy2yc,3,2.5,"1,478 Sq Ft","$1,966",Feb 12
8507ch0,vvxjjbd,2,2,"1,233 Sq Ft","$1,974",Mar 26
8507ch0,xhdq7qq,2,2,"1,233 Sq Ft","$1,974",Mar 26
8507ch0,rw28f50,1,1,706 Sq Ft,Call for Rent,Not Available
8507ch0,y56fzzr,1,1,816 Sq Ft,Call for Rent,Not Available
8507ch0,rzf8ee1,2,2,"1,053 Sq Ft",Call for Rent,Not Available
8507ch0,9kv30z4,2,2,"1,104 Sq Ft",Call for Rent,Not Available
8507ch0,m9q4crl,2,2,"1,157 Sq Ft",Call for Rent,Not Available
8507ch0,zbsnhjw,2,2,"1,198 Sq Ft",Call for Rent,Not Available
8507ch0,kqg2xb9,2,2,"1,205 Sq Ft",Call for Rent,Not Available
8507ch0,63xps5t,3,2,"1,370 Sq Ft",Call for Rent,Not Available
7x1j2ly,d95k8zj,0,1,634 Sq Ft,"$1,539 - 1,664",Available Now
7x1j2ly,ffnp0ds,0,1,634 Sq Ft,"$1,539",Available Now
7x1j2ly,fc1p5mt,0,1,634 Sq Ft,"$1,539",Available Now
7x1j2ly,jxslvb6,0,1,634 Sq Ft,"$1,539",Available Now
7x1j2ly,vmwsbnf,0,1,634 Sq Ft,"$1,539",Available Now
7x1j2ly,ctf6smg,0,1,650 Sq Ft,"$1,609 - 1,634",Available Now
7x1j2ly,yev638r,0,1,650 Sq Ft,"$1,609",Available Now
7x1j2ly,e8fgyvn,0,1,650 Sq Ft,"$1,634",Available Now
7x1j2ly,q31nerw,0,1,650 Sq Ft,"$1,634",Available Now
7x1j2ly,fp3qnet,1,1,708 Sq Ft,"$1,624 - 1,749",Available Now
7x1j2ly,dvf65bk,1,1,708 Sq Ft,"$1,624",Available Now
7x1j2ly,0fvb0q1,1,1,708 Sq Ft,"$1,624",Available Now
7x1j2ly,4tcf4mk,1,1,708 Sq Ft,"$1,624",Available Now
7x1j2ly,veqcvkf,1,1,708 Sq Ft,"$1,624",Available Now
7x1j2ly,8yxz5l2,1,1,698 Sq Ft,"$1,639 - 1,689",Available Now
7x1j2ly,3frlrhg,1,1,698 Sq Ft,"$1,639",Available Now
7x1j2ly,h95t7l3,1,1,698 Sq Ft,"$1,639",Available Now
7x1j2ly,4yvf0mj,1,1,698 Sq Ft,"$1,639",Available Now
7x1j2ly,xlgee0m,1,1,698 Sq Ft,"$1,639",Available Now
7x1j2ly,604jl7r,1,1,747 Sq Ft,"$1,639 - 1,764",Available Now
7x1j2ly,pqxwj1s,1,1,747 Sq Ft,"$1,639",Available Now
7x1j2ly,xh3ef8n,1,1,747 Sq Ft,"$1,759",Available Now
7x1j2ly,r94k7n3,1,1,747 Sq Ft,"$1,764",Available Now
7x1j2ly,knk5phc,1,1,"1,047 Sq Ft","$1,684",Available Now
7x1j2ly,s039fc5,1,1,707 Sq Ft,"$1,684",Available Now
7x1j2ly,jj1wbq6,1,1,"1,020 Sq Ft","$1,999 - 2,124",Available Now
7x1j2ly,wwhp2fh,1,1,"1,020 Sq Ft","$1,999",Available Now
7x1j2ly,w9gz6hj,1,1,"1,020 Sq Ft","$2,124",Available Now
7x1j2ly,64mjq7v,1,1.5,985 Sq Ft,"$2,139 - 2,249",Available Now
7x1j2ly,s3g9e34,1,1.5,985 Sq Ft,"$2,139",Available Now
7x1j2ly,3cdlx8d,1,1.5,985 Sq Ft,"$2,174",Available Now
7x1j2ly,wt8p4yk,1,1.5,985 Sq Ft,"$2,174",Available Now
7x1j2ly,wvdp56k,1,1.5,985 Sq Ft,"$2,174",Available Now
7x1j2ly,dxgn64l,2,2,"1,090 Sq Ft","$2,144 - 2,334",Available Now
7x1j2ly,c81vy6e,2,2,"1,090 Sq Ft","$2,209",Available Now
7x1j2ly,0gzb1g1,2,2,"1,090 Sq Ft","$2,209",Available Now
7x1j2ly,zr3gy9x,2,2,"1,090 Sq Ft","$2,209",Available Now
7x1j2ly,gt9zwnw,2,2,"1,090 Sq Ft","$2,209",Available Now
7x1j2ly,2l8nhd9,2,2,"1,058 Sq Ft","$2,149 - 2,299",Available Now
7x1j2ly,hent3l0,2,2,"1,058 Sq Ft","$2,149",Available Now
7x1j2ly,b5p0lr8,2,2,"1,058 Sq Ft","$2,149",Available Now
7x1j2ly,4m42nkh,2,2,"1,058 Sq Ft","$2,149",Available Now
7x1j2ly,ylpg1nt,2,2,"1,058 Sq Ft","$2,149",Available Now
7x1j2ly,9kf49n7,2,2,"1,047 - 1,090 Sq Ft","$2,159 - 2,284",Available Now
7x1j2ly,xj7eghn,2,2,"1,047 Sq Ft","$2,159",Available Now
7x1j2ly,t7whj49,2,2,"1,047 Sq Ft","$2,159",Available Now
7x1j2ly,mr1y68l,2,2,"1,047 Sq Ft","$2,159",Available Now
7x1j2ly,qs67zqx,2,2,"1,090 Sq Ft","$2,159",Available Now
